ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler
101.81.133.jja,2017-6-30,0:00:00,0,1608552,0001047469-17-004337,#NAME?,200,80251,1,0,0,9,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0000898430-02-001167,#NAME?,200,2825,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-003827,#NAME?,200,3021,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-005350,#NAME?,200,2952,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-003547,#NAME?,200,3061,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,841535,0000841535-10-000003,#NAME?,200,2716,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1372211,0001371385-06-000003,#NAME?,200,2768,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1372211,0001144204-06-036568,#NAME?,200,2772,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-004108,#NAME?,200,2948,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0001193125-04-067355,#NAME?,200,2861,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1372211,0001351930-06-000042,#NAME?,200,2769,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-005886,#NAME?,200,2985,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,841535,0000841535-05-000002,#NAME?,200,2715,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0000930413-03-001723,#NAME?,200,2726,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1372211,0001361234-06-000006,#NAME?,200,2761,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0001193125-04-052715,#NAME?,200,2781,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0001162318-03-000346,#NAME?,200,2737,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0001125282-01-502758,#NAME?,200,2642,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,841535,0000841535-07-000003,#NAME?,200,2716,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1372211,0001351930-07-000004,#NAME?,200,2756,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,841535,0000841535-06-000007,#NAME?,200,2722,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1372211,0001019965-07-000162,#NAME?,200,2803,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,841535,0000841535-08-000004,#NAME?,200,2717,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1027281,0001193125-04-052717,#NAME?,200,2820,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1353083,0001068238-06-000177,#NAME?,200,2759,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,841535,0000841535-09-000003,#NAME?,200,2718,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-003904,#NAME?,200,2853,1,0,0,10,0
107.23.85.jfd,2017-6-30,0:00:00,0,1136894,0000905148-07-004707,#NAME?,200,2960,1,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,725363,0001236031-06-000018,primary_doc.xml,200,1470,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,746598,0001345100-06-000317,edgar.xml,200,1696,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,352915,0001181431-06-052579,#NAME?,200,2878,1,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,725363,0001236031-06-000019,xslF345X02/primary_doc.xml,200,3539,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,746598,0001345100-06-000318,xslF345X02/edgar.xml,200,3770,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,108985,0000108985-06-000074,xslF345X02/primary_doc.xml,200,3586,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,352915,0001181431-06-052579,xslF345X02/rrd130175.xml,200,3723,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,1255821,0001369224-06-000002,#NAME?,200,2751,1,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,725363,0001236031-06-000019,#NAME?,200,2812,1,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,1228055,0001228055-06-000002,primary_doc.xml,200,1244,0,0,0,10,0
109.145.75.gge,2017-6-30,0:00:00,0,746598,0001345100-06-000318,#NAME?,200,2823,1,0,0,10,0
115.111.60.idd,2017-6-30,0:00:00,0,109563,0000109563-17-000076,#NAME?,200,10733,1,0,0,10,0
115.111.60.idd,2017-6-30,0:00:00,0,109563,0000109563-17-000076,#NAME?,301,288,1,0,1,10,0
116.226.185.ceb,2017-6-30,0:00:00,0,858446,0001191638-09-000211,#NAME?,200,6634,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,1053092,0000950103-17-006275,#NAME?,403,0,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,831001,0000950103-17-006267,#NAME?,403,0,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,312070,0001193125-17-218445,#NAME?,429,5434,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,1100663,0001193125-17-218506,#NAME?,403,0,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,1053092,0000950103-17-006266,#NAME?,429,5434,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,1053092,0000950103-17-006247,#NAME?,429,5434,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,1100663,0001193125-17-218506,#NAME?,403,0,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,831001,0000950103-17-006267,#NAME?,429,5434,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,1515156,0001515156-17-000082,#NAME?,429,5434,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,831001,0000950103-17-006303,#NAME?,429,5434,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,312070,0001193125-17-218445,#NAME?,403,0,1,0,0,10,0
117.91.231.fjf,2017-6-30,0:00:00,0,831001,0000950103-17-006303,#NAME?,403,0,1,0,0,10,0
121.40.65.ebc,2017-6-30,0:00:00,0,354707,0001104659-17-041803,#NAME?,206,2838,1,0,0,10,0
121.40.65.ebc,2017-6-30,0:00:00,0,354707,0001104659-17-041803,#NAME?,301,684,1,0,0,10,0
121.40.66.aie,2017-6-30,0:00:00,0,1290476,0001144204-17-034040,#NAME?,206,2917,1,0,0,10,0
121.40.66.aie,2017-6-30,0:00:00,0,1290476,0001144204-17-034040,#NAME?,301,684,1,0,0,10,0
128.138.64.cej,2017-6-30,0:00:00,0,745543,0000745543-06-000004,.txt,200,71811,0,0,0,10,0
128.138.64.cej,2017-6-30,0:00:00,0,913293,0000950134-06-015373,.txt,200,1329822,0,0,0,10,0
128.250.0.cdg,2017-6-30,0:00:00,0,935419,0001144204-16-116924,v446146_ex10-1.htm,200,53983,0,0,0,10,0
128.250.0.cdg,2017-6-30,0:00:00,0,935419,0001144204-15-044347,v416311_ex10-1.htm,200,52662,0,0,0,10,0
128.250.0.cdg,2017-6-30,0:00:00,0,935419,0001144204-14-056912,v389471_ex10-1.htm,200,54211,0,0,0,10,0
137.135.107.cje,2017-6-30,0:00:00,0,1642616,0001213900-17-006980,#NAME?,301,678,1,0,0,10,0
137.135.107.cje,2017-6-30,0:00:00,0,1643304,0000899243-17-017517,#NAME?,301,678,1,0,0,10,0
137.135.107.cje,2017-6-30,0:00:00,0,1642616,0001213900-17-006980,#NAME?,200,10101,1,0,0,10,0
139.199.159.caf,2017-6-30,0:00:00,0,1598655,0000930413-17-000182,#NAME?,200,2831,1,0,0,1,0
144.203.129.hji,2017-6-30,0:00:00,0,1178862,0001178862-14-000006,bir-20131231x10k.htm,200,2880122,0,0,0,10,0
146.88.97.jag,2017-6-30,0:00:00,0,1541157,0001144204-17-034986,#NAME?,200,2680,1,0,0,10,0
146.88.97.jag,2017-6-30,0:00:00,0,1541157,0001144204-17-034986,#NAME?,301,685,1,0,0,10,0
149.56.12.jbf,2017-6-30,0:00:00,0,860516,0000898432-17-000491,#NAME?,301,658,1,0,0,10,0
149.56.12.jbf,2017-6-30,0:00:00,0,770952,0000898432-17-000490,#NAME?,200,3212,1,0,0,10,0
149.56.12.jbf,2017-6-30,0:00:00,0,770952,0000898432-17-000490,#NAME?,301,657,1,0,0,10,0
149.56.12.jbf,2017-6-30,0:00:00,0,770952,0000898432-17-000494,#NAME?,301,657,1,0,0,10,0
149.56.12.jbf,2017-6-30,0:00:00,0,770952,0000898432-17-000494,#NAME?,200,3162,1,0,0,10,0
155.201.34.ahg,2017-6-30,0:00:00,0,1326801,0001326801-15-000006,fb-12312014x10k.htm,200,147514,0,0,0,9,0
